State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Louisiana,,3/13/2020,Governor orders all schools close until April 13th,government,school closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/13/2020,Archdiocese allows its members to skip mass for the next month,other,events cancelled,religion,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/13/2020,"Multiple New Orleans theaters close, events are promised to be rescheduled",other,events cancelled,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/13/2020,"On March 13, Governor Edwards issued an order prohibiting gatherings of more than 250 people, and the closure of all K-12 public schools from March 16 to April 13,[16] as the number cases rose to 36",government,school closing,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,,3/14/2020,Bayou Segnette State Park is closed to be used to isolate patients,government,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/14/2020,NOPD breaks up St patricks day event,government,events cancelled,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/15/2020,"Hospitals restrict visitors to ""essential"" visitors to see patients",other,movement restriction,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/15/2020,Public libraries are closed,government,public service reduction,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/15/2020,New Orleans mayor announces drive thru testing is being planned,government,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/15/2020,New Orleans public transportation is limited,government,movement restriction,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/15/2020,"Mayor of New Orleans LaToya Cantrell announced the closure of New Orleans' traffic and magistrate courts on March 15, beginning immediately and lasting for 30 days.",government,public service reduction,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,New Orleans,3/15/2020,"Also on March 15, Mayor Cantrell issued guidance surrounding bars and restaurants, directing full-service restaurants to close at 9:00 p.m. and restaurants to only seat 50 percent of their capacity to partake in physical distancing. In addition, quick-service or fast-casual restaurants can only partake in drive-thru service, but can extend their operating hours to 24 hours if needed. Bars and nightclubs are also required to serve up to 50 percent of their capacity, announce last call at 11:15 p.m., and be closed and vacated by midnight every night",government,other,non-essential restrictions,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,,3/16/2020,Casinos announce their closure,other,non-essential closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/16/2020,New Orleans Office of Motor Vehicles (OMV) is closed ,government,public service reduction,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/16/2020,"Governor bans gatherings larger than 50 people, bans restaurants and bars from offering dine in service",government,non-essential closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/16/2020,New Orleans mayor closes all malls and gyms,government,non-essential closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/16/2020,"On March 16, Governor Edwards issued a state-wide executive order prohibiting public gatherings of more than 50 people, and ordering the closure of bars, bowling alleys, casino gaming (including casinos and video poker), fitness facilities, and movie theaters from March 17 through April 13.",government,non-essential closing,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,New Orleans,3/16/2020,The mayor also announced the closure of New Orleans Public Libraries beginning on March 16.,government,public service reduction,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana,,3/16/2020,"Governor John Bel Edwards announced on March 16 that, starting at midnight, all casinos, bars and movie theaters in the state will be closed to the public and restaurants will be limited to delivery, take out and drive-through orders only, according to KATC3. The situation will be reevaluated on April 6 and, if deemed appropriate, operations will resume as normal on April 13. Schools in Louisiana have been closed until mid-April, according to WDSU.",government,non-essential closing,,BR30,https://www.livescience.com/louisiana-coronavirus-updates.html
Louisiana ,,3/16/2020,Gov. Edwards Announces Aggressive Measures to Prevent the Spread of COVID-19,government,non-essential closing,may resume on April 13,DY26,https://gov.louisiana.gov/index.cfm/newsroom/detail/2411
Louisiana,,3/17/2020,West Jefferson Medical center starts drive thru testing,government,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/17/2020,New Orleans archdiocese cancels all masses,other,events cancelled,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/17/2020,Jazz fest postponed until the fall,other,events cancelled,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/19/2020,Stores offer senior only shopping,other,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/19/2020,New Orleans bans evictions,government,other,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
